POET,POEM,VERSE,PART1,PART2,ERA,POEM_METER,VERSE_METER
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,16,لِكُلِّ قَرْمِ هِيبَةً لَمْ يَدِنْ,وَكُلُّ جَبَّارٍ لَهُ دَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,17,تَوَهُّمًا تُفْرَقُ مِنْهُ العِدَى,إِنْ قِيلَ ذَا سِرْبُ سُلَيْمَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,18,مَا انْفَكَّ مُذْ غَرَّبَ أَسْيَافُهُ,وَطَّنَهَا الهَامَاتِ إِيطَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,19,أَمَا تَرَى المِغْوَارَ فِي وَقْعَةِ الْ,أَحْزَابِ كَمْ جُنْدُلِ فُرْسَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,20,إِذْ بَصْرَةُ الفَيْحَاءَ قَدْ أَجْدَبَتْ,وَكَانَ فِيهَا الشَّهْمُ سُلْطَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,21,فَرَامَ أَنْ يُخْرِجَ أَجْنَادَهُ,مِنْهَا إِلَى أَكْنَافِ بُغْدَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,22,لِكَيْ يَخِفَّ الجَدْبُ عَنْهَا وَكَيْ,يَشْمَلُ مِنْهُ اللُّطْفُ سُكَّانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,23,فَسَارَ بِالجَحْفَلِ عَنْ قُطْرِهَا,مُتَّخِذَ الحِلَّةِ أَوْطَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,24,وَحَيْثَمَا خَيَّمَ فِي دَوِّهَا,قَدْ حَصَّلَتْ دُونَ القُرَى شَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,25,وَاسْتَرَّ أَهْلَوْهَا بِمَنْ زَادَهُمْ,إِذْ أَمِنُوا ظُلْمًا وَعُدْوَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,26,لَكِنَّ فِي بَغْدَادَ مُذْ شَاعَ ذَا,حَازَتْ أَهَالِي البَغْيِ أَحْزَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,27,فَاجْتَمِعُوا عِنْدَ مَلِيكٍ لَهُمْ,وَارْتَكِبُوا غَدْرًا وَكُفْرَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,28,مِنْ كُلِّ جَوَّاظٍ عَرِيضِ القَفَا,عَنْ حِلْيَةِ الإِنْصَافِ عِرْيَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,29,لَمَّا يَزَلْ مِنْ عَقْلِهِ جَائِعًا,وَمِنْ عَظِيمِ النُّوكِ شَبْعَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,30,حَاصُوا كَحُمْرِ الوَحْشِ مِنْ حِينِهِمْ,وَاضْطَرَبَ المَجْلِسُ أَحْيَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,31,وَأَجْمَعُوا أَنَّ مَلِيكَ الوَرَى,حَادَ عَنِ الدَّوْلَةِ عِصْيَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,32,وَأَنَّهُ مَالَ إِلَى غَدْرِنَا,وَأَنَّهُ جَاءَ لِيَنْكَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,33,فَعِنْدَ ذَا قَرَرِ مُفْتِيهِمْ,بِحَرْبِهِ جَهْلًا وَخُذْلَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,34,جَهَّزَ جَيْشَ الظُّلْمِ وَالِيُهُمْ,مُجَمِّعًا عَجْمًا وَعُرْبَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,35,وَحَاوَلُوا أَنْ يَبْلَغُوا مَأْرَبًا,مِنْ فَارِسِ العَصْرِ سُلَيْمَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,36,لَكِنَّهُمْ خَابُوا لِمَا شَاهَدُوا,مِنْهُ رُحَاةَ الحَرْبِ طَحَّانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,37,إِذْ قَامَ كَالقِسْوَرِ مِنْ غَيْلِهِ,تَحْفُهُ الأَشْبَالُ فُرْسَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,38,وَجَرَدَ الأَبْيَضَ مِنْ جَفْنِهِ,وَاعْتَقَلَ الأَسْمَرَ طَعَّانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,39,وَاقْتَحَمَ الحَرْبَ كَلَيْثٍ إِذَا,صَادَفَ بَعْضَ الصَّيْدِ غُرْثَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,40,أَحْمَى وَطَيْسَ الحَرْبِ حَتَّى غَدَا,لَهُ قُتَامُ الجَوِّ دُخَّانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,41,وَلَمْ يَزَلْ يَرْدِي بِهِنْدَيْهِ الْ,أَبْطَالِ أَمْثَالًا وَأَقْرَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,42,حَتَّى إِذَا قَابَلَ جَمْعًا لَهُمْ,وَلُّوا وَقَالُوا أَنَّهُ جَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,43,فَرَّقَهُمْ أَيْدِي سَبَا فِي الفُلَا,وَقَدْ قَرَى نَسْرًا وَسُرْحَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,44,تَبًّا لَهُمْ عِشْرُونَ أَلْفًا لَهُمْ,وَعَسْكَرُ المِغْوَارِ أَلْفَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,45,فَكَيْفَ وَلَّى بَعْضَهُمْ هَارِبًا,وَبَعْضُهُمْ صَاحِبُ أَكْفَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,46,بُشْرَاكَ يَا شَهْمُ فَذِي نِعْمَةٌ,دُونَ الوَرَى أَوْلَاكَ مَوْلَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,47,فَالنَّصْرُ قَدْ خَصَّكَ دُونَ الوَرَى,وَحَفَّكَ الإِقْبَالُ أَزْمَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,48,نَصَرْتَ بِالرُّعْبِ وَذِي وَقْعَةِ الْ,أَحْزَابِ فَافْخَرْ بِالَّذِي كَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,49,حَيْثُ لَكُمْ بِالمُصْطَفَى أُسْوَةٌ,حَمِيدَةٌ نِلْتَ بِهَا شَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,50,مُذْ بَلَغَ الخِنْكَارُ أَخْبَارَهُ,وَلَّاهُ لِلرَّأْفَةِ بَغْدَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,51,حَيْثُ رَآهُ بَاسِلًا فَاتِكَا,يُرْدِي العَدَى فُرْسًا وَعُرْبَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,52,ذَا نَجْدَةٍ غَوْثٍ صَرِيخٍ أَخَا الْ,جُودَةِ حَسَّانًا وَحَسَّانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,53,بَعْدَ العَنَا نَالَ لَذِيذَ العُلَى,وَاغْتَنَمَ الرَّاحَةَ تَعْبَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,54,كَمَا اسْتَلَذَّ النَّوْمُ بَعْدَ الكَرَى,فَغَمَّضَ السَّاهِرُ أَجْفَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,55,حَمْدًا لَكَ اللَّهُمَّ زَالَ العَنَا,بِهِ وَمَا قَدْ كَانَ أَشْقَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,56,وَاسْتَبْشَرَتْ بَغْدَادُ إِذْ حَلَّهَا,فَفَاخَرَتْ مُدْنًا وَبُلْدَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,57,مَا هِيَ إِلَّا بَهْجَةً يَتِمَتْ,بَعْدَكَ لَا تَرُوقُ أَغْصَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,58,أَضْنَى قِوَاهَا طُولَ هَذَا النَّوَى,حَتَّى أَتَتْ بِالسُّقْمِ بُرْهَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,59,بِظَعْنِكُمْ عَنْهَا مَنَارَ الهُدَى,أُخْفِي فَلَا يَطِيعُ تِبْيَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,60,وَمُذْ حَلَلْتَ الآنَ فِي رَحْبِهَا,بَدَتْ بِهَا الأَنْوَارُ إِعْلَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,61,لَا أَوْحَشَ اللَّهُ رُبُوعًا بِهَا,مِنْكَ وَلَا أَوْحَشَ سُكَّانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,62,لَا بَرَحَتْ لِمَجْدِكُمْ مَنْزِلَا,وَللثَّنَا وَالحَمْدِ أَوْطَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,63,مَوْلَايَ أَعْدَاكَ غَدُوا خَضَعَا,خَوْفًا وَكُلٌّ لَكَ قَدْ دَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,64,هِبْ أَنَّهُمْ سَاؤُوا فَأَحْسِنْ بِهِمْ,لِلَّهِ إِذْ أَوْلَاكَ إِحْسَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,65,قَدَرْتَ وَالعَفْوُ هُوَ المُرْتَجَى,إِذْ هُوَ مِنْ شِيمَةِ مَوْلَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,66,وَاغْضُضْ بِطَرْفِ الحِلْمِ عَنْ غَيِّهِمْ,وَامْنَحَهُمْ عَفْوًا وَغُفْرَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,67,فَالحَمْدُ لِلَّهِ غَدُوا مُثْلَةً,كَفَاهُمُ ذُلًّا وَخُسْرَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,68,لَا زِلْتَ فِينَا حَاكِمًا عَادِلَا,وَدُمْتَ لِلْعَاصِينَ حَنَّانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,69,بُشْرَى لَنَا آلَ الزُّوَيْرَاءِ إِذْ,عَزِيزُنَا النَّاصِرُ وَافَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,70,أَسْعَدَنَا اللَّهُ بِهِ بَعْدَمَا,بِغَيْرِهِ قَدْ كَانَ أَشْقَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,71,وَدَوْلَةُ الأَوْبَاشِ زَالَتْ بِهِ,مُذْ حَلَّ صَدْرُ الدَّسْتِ سُلْطَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,72,وَآيَةُ الإِقْبَالِ قَدْ أَرَّخَتْ,المُلْكُ أَضْحَى لِسُلَيْمَانَا,Modern,sarii_complete,sarii_complete
Abi Alatahiya,Inna Al Fanae,1,إِنَّ الفَنَاءَ مِنَ البَقَاءِ قَرِيبُ,إِنَّ الزَّمَانَ إِذَا رَمَى لَمُصِيبُ,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
Abi Alatahiya,Inna Al Fanae,2,إِنَّ الزَّمَانَ لِأَهْلِهِ لَمُؤَدَّبٌ,لَوْ كَانَ يَنْفَعُ فِيهِمُ التَّأْدِيبُ,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
Abi Alatahiya,Inna Al Fanae,3,صِفَةُ الزَّمَانِ حَكِيمَةٌ وَبَلِيغَةٌ,إِنَّ الزَّمَانَ لَشَاعِرٌ وَخَطِيبُ,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
Abi Alatahiya,Inna Al Fanae,4,وَأَرَاكَ تَلْتَمِسُ البَقَاءَ وَطُولُهُ,لَكَ مُهْرِمٌ وَمُعَذِّبٌ وَمُذِيبُ,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
Abi Alatahiya,Inna Al Fanae,5,وَلَقَدْ رَأَيْتُكَ لِلزَّمَانِ مُجَرِّبًا,لَوْ كَانَ يُحْكِمُ رَأْيَكَ التَّجْرِيبُ,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
Abi Alatahiya,Inna Al Fanae,6,وَلَقَدْ يُكَلِّمُكَ الزَّمَانُ بِأَلْسُنٍ عَرَبِيَّةٍ,وَأَرَاكَ لَسْتَ تُجِيبُ,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
Abi Alatahiya,Inna Al Fanae,7,لَوْ كُنْتَ تَفْهَمُ عَنْ زَمَانِكَ قَوْلَهُ,لَعَرَاكَ مِنْهُ تَفَجُّعٌ وَنَحِيبُ,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
Abi Alatahiya,Inna Al Fanae,8,أَلْحَحْتَ فِي طَلَبِ الصِّبَا وَضَلَالِهِ,وَالمَوْتُ مِنْكَ وَإِنْ كَرِهْتَ قَرِيبُ,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
Abi Alatahiya,Inna Al Fanae,9,وَلَقَدْ عَقَلْتَ وَمَا أَرَاكَ بِعَاقِلٍ,وَلَقَدْ طَلَبْتَ وَمَا أَرَاكَ تُصِيبُ,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
Abi Alatahiya,Inna Al Fanae,10,وَلَقَدْ سَكَنْتَ صُحُونَ دَارِ تَقَلُّبٍ,أَبْلَى وَأَفْنَى دَارَكَ التَّقْلِيبُ,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
Abi Alatahiya,Inna Al Fanae,11,أَمَعَ المَمَاتِ يَطِيبُ عَيْشُكَ يَا أَخِي,هَيْهَاتَ لَيْسَ مَعَ المَمَاتِ يَطِيبُ,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
Abi Alatahiya,Inna Al Fanae,12,زُغْ كَيْفَ شِئْتَ عَنِ البِلَى فَلَهُو عَلَى,كُلَّ ابْنِ أُنْثَى حَافِظٌ وَرَقِيبُ,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
Abi Alatahiya,Inna Al Fanae,13,كَيْفَ اغْتَرَرْتَ بِصَرْفِ دَهْرِكَ يَا أَخِي,كَيْفَ اغْتَرَرْتَ بِهِ وَأَنْتَ لَبِيبُ,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
Abi Alatahiya,Inna Al Fanae,14,وَلَقَدْ حَلَبْتَ الدَّهْرَ أَشْطُرَ دَرِّهِ,حِقَبًا وَأَنْتَ مُجَرِّبٌ وَأَرِيبُ,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
Abi Alatahiya,Inna Al Fanae,15,وَالمَوْتُ يَرْتَصِدُ النُّفُوسَ وَكُلُّنَا,لِلْمَوْتِ فِيهِ وَلِلتُّرَابِ نَصِيبُ,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
Abi Alatahiya,Inna Al Fanae,16,إِنْ كُنْتَ لَسْتَ تُنِيبُ إِنْ وَثَبَ البِلَى,بَلْ يَا أَخِي فَمَتَى أَرَاكَ تُنِيبُ,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
Abi Alatahiya,Inna Al Fanae,17,لِلَّهِ دَرُّكَ عَائِبًا مُتَسَرِّعًا,أَيَعِيبُ مَنْ هُوَ بِالعُيُوبِ مَعِيبُ,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
Abi Alatahiya,Inna Al Fanae,18,وَلَقَدْ عَجِبْتُ لِغَفْلَتِي وَلِغِرَّتِي,وَالمَوْتُ يَدْعُونِي غَدًا فَأُجِيبُ,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
Abi Alatahiya,Inna Al Fanae,19,وَلَقَدْ عَجِبْتُ لِطُولِ أَمْنِ مَنِيَّتِي,وَلَهَا إِلَيَّ تَوَثُّبٌ وَدَبِيبُ,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
Abi Alatahiya,Inna Al Fanae,20,لِلَّهِ عَقْلِي مَا يَزَالُ يَخُونَنِي,وَلَقَدْ أَرَاهُ وَإِنَّهُ لَصَلِيبُ,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
Abi Alatahiya,Inna Al Fanae,21,لِلَّهِ أَيَّامٌ نَعِمْتُ بِلِينِهَا,أَيَّامَ لِي غُصْنُ الشَّبَابِ رَطِيبُ,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
Abi Alatahiya,Inna Al Fanae,22,إِنَّ الشَّبَابَ لَنَافِقٌ عِنْدَ النِّسَا,مَا لِلْمَشِيبِ مِنَ النِّسَاءِ حَبِيبُ,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
Abi Alatahiya,Maa Lilmaqaabiri,1,مَا لِلْمَقَابِرِ لَا تُجِي,بُ إِذَا دَعَاهُنَّ الكَئِيبُ,Abbassi: VIIIth - XVIth,kamil_partial,kamil_partial
