ID,POET,POEM,VERSE,PART2,PART1,ERA,POEM_METER,VERSE_METER
312,Abdelmonim Al Rifaaii,Nagwa,11,حَيْثُ الرِّضَا بَعْضُ كِفَافٍ زَهِيدْ,أَوْ لَيْتَنِي أَهْوِي إِلَى جَدْوَلٍ,Modern,sarii_complete,sarii_complete
313,Abdelmonim Al Rifaaii,Nagwa,12,وَرُبَّ صَادٍ لَا يَرُومُ المَزِيدْ,أَرْتَشِفُ القَطْرَةَ لَا أَرْتَوِي,Modern,sarii_complete,sarii_complete
314,Abdelmonim Al Rifaaii,Nagwa,13,عَافَ الرُّبَا وَاخْتَارَ ذَاكَ الصَّعِيدْ,أَسْأَلُهُ عَنْ شَأْنِهِ مَا لَهُ,Modern,sarii_complete,sarii_complete
315,Abdelmonim Al Rifaaii,Nagwa,14,وَقُبْلَةً تَحْيَا وَأُخْرَى تَبِيدْ,آهٍ عَلَى هَمْسِ الجَوَى حَوْلَهُ,Modern,sarii_complete,sarii_complete
316,Abdelmonim Al Rifaaii,Nagwa,15,وَالتَّفُ خَصْرَانٌ وَجِيدٌ وَجِيدْ,وَسَاعِدٌ يَقْوَى عَلَى سَاعِدٍ,Modern,sarii_complete,sarii_complete
317,Abdelmonim Al Rifaaii,Nagwa,16,مَاذَا عَلَى رَجْعِ الصَّدَى لَوْ يُعِيدْ,خَوَاطِرٌ يَا نِيلُ أَيْقَظْتَهَا,Modern,sarii_complete,sarii_complete
318,Abdelmonim Al Rifaaii,Nagwa,17,بِهِ القَوَافِي وَاسْتَجَابَ القَصِيدْ,مَاذَا عَلَى الشَّاعِرِ لَوْ جَنَّحَتْ,Modern,sarii_complete,sarii_complete
319,Abdelmonim Al Rifaaii,Nagwa,18,عَنْ بَارِقٍ لَاحَ وَأُفْقٍ جَدِيدْ,غَدًا سَأَرْوِي لَكَ مِنْ قِصَّتِي,Modern,sarii_complete,sarii_complete
3564,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,1,وَكَوْكَبُ النَّصْرِ لَقَدْ زَانَا,بُشْرَى فَإِنَّ النَّصْرَ وَافَانَا,Modern,sarii_complete,sarii_complete
3565,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,2,فَوْقَ سُمُوتِ العِزِّ مُزْدَانَا,وَأَقْبَلَ الإِقْبَالَ فِي طَالِعٍ,Modern,sarii_complete,sarii_complete
3566,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,3,بِأَنْجُمِ الفَخْرِ كَمَا كَانَا,وَفَلَكُ المَجْدِ غَدًا دَائِرًا,Modern,sarii_complete,sarii_complete
3567,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,4,زَيَّنَهُ الإِقْبَالُ فَازْدَانَا,وَالنَّصْرُ أَمْسَى نَجْمَهُ زَاهِرًا,Modern,sarii_complete,sarii_complete
3568,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,5,فَوْقَ السُّهَا نَاجِمِ كَيْوَانَا,وَالمَلِكُ السَّامِي غَدَا قَدْرُهُ,Modern,sarii_complete,sarii_complete
3569,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,6,بِهِ اسْتَضَاءَتْ آلَ عُثْمَانَا,فَخْرُ الوَرَى فَجْرُ الهُدَى نَيِّرٌ,Modern,sarii_complete,sarii_complete
3570,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,7,مَا هُوَ إِلَّا شَمْسُ دُنْيَانَا,ظُلْمَةُ أَهْلِ الجُورِ زَالَتْ بِهِ,Modern,sarii_complete,sarii_complete
3571,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,8,عَلْيَاءَ تَسْتَصْغِرُ ثَهْلَانَا,تَاجُ المُلُوكِ الصِّيدِ ذُو هِمَّةٍ,Modern,sarii_complete,sarii_complete
3572,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,9,يَعْجُزُ عَنْهُ الخَطُّ حُسْبَانَا,مَوْلَى النَّدَى مَوْلَى مِنَ المَالِ مَا,Modern,sarii_complete,sarii_complete
3573,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,10,قَدْ أَنْبَتَتْ لِلْوَفْدِ عُقْيَانَا,ذُو رَاحَةٍ أَنْدَى مِنَ البَحْرِ إِذْ,Modern,sarii_complete,sarii_complete
3574,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,11,مِنْهُ وَلَوْ أَنْفَسَ مَا كَانَا,يَسْتَرُّ بِالجَائِي يَرُومُ العَطَا,Modern,sarii_complete,sarii_complete
3575,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,12,حَيْثُ بَنَى لِلْحَمْدِ أَرْكَانَا,فَكَعْبَةَ الوَفْدِ غَدَتْ دَارُهُ,Modern,sarii_complete,sarii_complete
3576,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,13,أَسَالُ جَيْحُونًا وَجَيْحَانَا,لِلْوَارِدِينَ الجُودِ مِنْ كَفِّهِ,Modern,sarii_complete,sarii_complete
3577,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,14,أَحْسَنُ أَهْلِ الجُودِ إِحْسَانَا,عِمَادُ أَهْلِ العِزِّ رُكْنُ العُلَى,Modern,sarii_complete,sarii_complete
3578,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,15,وَفِي الوَغَى لَا زَالَ طَعَّانَا,البَطَلُ المِغْوَارُ وَقْتَ اللِّقَا,Modern,sarii_complete,sarii_complete
3579,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,16,وَكُلُّ جَبَّارٍ لَهُ دَانَا,لِكُلِّ قَرْمِ هِيبَةً لَمْ يَدِنْ,Modern,sarii_complete,sarii_complete
3580,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,17,إِنْ قِيلَ ذَا سِرْبُ سُلَيْمَانَا,تَوَهُّمًا تُفْرَقُ مِنْهُ العِدَى,Modern,sarii_complete,sarii_complete
3581,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,18,وَطَّنَهَا الهَامَاتِ إِيطَانَا,مَا انْفَكَّ مُذْ غَرَّبَ أَسْيَافُهُ,Modern,sarii_complete,sarii_complete
3582,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,19,أَحْزَابِ كَمْ جُنْدُلِ فُرْسَانَا,أَمَا تَرَى المِغْوَارَ فِي وَقْعَةِ الْ,Modern,sarii_complete,sarii_complete
3583,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,20,وَكَانَ فِيهَا الشَّهْمُ سُلْطَانَا,إِذْ بَصْرَةُ الفَيْحَاءَ قَدْ أَجْدَبَتْ,Modern,sarii_complete,sarii_complete
3584,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,21,مِنْهَا إِلَى أَكْنَافِ بُغْدَانَا,فَرَامَ أَنْ يُخْرِجَ أَجْنَادَهُ,Modern,sarii_complete,sarii_complete
3585,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,22,يَشْمَلُ مِنْهُ اللُّطْفُ سُكَّانَا,لِكَيْ يَخِفَّ الجَدْبُ عَنْهَا وَكَيْ,Modern,sarii_complete,sarii_complete
3586,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,23,مُتَّخِذَ الحِلَّةِ أَوْطَانَا,فَسَارَ بِالجَحْفَلِ عَنْ قُطْرِهَا,Modern,sarii_complete,sarii_complete
3587,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,24,قَدْ حَصَّلَتْ دُونَ القُرَى شَانَا,وَحَيْثَمَا خَيَّمَ فِي دَوِّهَا,Modern,sarii_complete,sarii_complete
3588,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,25,إِذْ أَمِنُوا ظُلْمًا وَعُدْوَانَا,وَاسْتَرَّ أَهْلَوْهَا بِمَنْ زَادَهُمْ,Modern,sarii_complete,sarii_complete
3589,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,26,حَازَتْ أَهَالِي البَغْيِ أَحْزَانَا,لَكِنَّ فِي بَغْدَادَ مُذْ شَاعَ ذَا,Modern,sarii_complete,sarii_complete
3590,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,27,وَارْتَكِبُوا غَدْرًا وَكُفْرَانَا,فَاجْتَمِعُوا عِنْدَ مَلِيكٍ لَهُمْ,Modern,sarii_complete,sarii_complete
3591,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,28,عَنْ حِلْيَةِ الإِنْصَافِ عِرْيَانَا,مِنْ كُلِّ جَوَّاظٍ عَرِيضِ القَفَا,Modern,sarii_complete,sarii_complete
3592,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,29,وَمِنْ عَظِيمِ النُّوكِ شَبْعَانَا,لَمَّا يَزَلْ مِنْ عَقْلِهِ جَائِعًا,Modern,sarii_complete,sarii_complete
3593,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,30,وَاضْطَرَبَ المَجْلِسُ أَحْيَانَا,حَاصُوا كَحُمْرِ الوَحْشِ مِنْ حِينِهِمْ,Modern,sarii_complete,sarii_complete
3594,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,31,حَادَ عَنِ الدَّوْلَةِ عِصْيَانَا,وَأَجْمَعُوا أَنَّ مَلِيكَ الوَرَى,Modern,sarii_complete,sarii_complete
3595,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,32,وَأَنَّهُ جَاءَ لِيَنْكَانَا,وَأَنَّهُ مَالَ إِلَى غَدْرِنَا,Modern,sarii_complete,sarii_complete
3596,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,33,بِحَرْبِهِ جَهْلًا وَخُذْلَانَا,فَعِنْدَ ذَا قَرَرِ مُفْتِيهِمْ,Modern,sarii_complete,sarii_complete
3597,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,34,مُجَمِّعًا عَجْمًا وَعُرْبَانَا,جَهَّزَ جَيْشَ الظُّلْمِ وَالِيُهُمْ,Modern,sarii_complete,sarii_complete
3598,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,35,مِنْ فَارِسِ العَصْرِ سُلَيْمَانَا,وَحَاوَلُوا أَنْ يَبْلَغُوا مَأْرَبًا,Modern,sarii_complete,sarii_complete
3599,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,36,مِنْهُ رُحَاةَ الحَرْبِ طَحَّانَا,لَكِنَّهُمْ خَابُوا لِمَا شَاهَدُوا,Modern,sarii_complete,sarii_complete
3600,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,37,تَحْفُهُ الأَشْبَالُ فُرْسَانَا,إِذْ قَامَ كَالقِسْوَرِ مِنْ غَيْلِهِ,Modern,sarii_complete,sarii_complete
3601,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,38,وَاعْتَقَلَ الأَسْمَرَ طَعَّانَا,وَجَرَدَ الأَبْيَضَ مِنْ جَفْنِهِ,Modern,sarii_complete,sarii_complete
3602,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,39,صَادَفَ بَعْضَ الصَّيْدِ غُرْثَانَا,وَاقْتَحَمَ الحَرْبَ كَلَيْثٍ إِذَا,Modern,sarii_complete,sarii_complete
3603,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,40,لَهُ قُتَامُ الجَوِّ دُخَّانَا,أَحْمَى وَطَيْسَ الحَرْبِ حَتَّى غَدَا,Modern,sarii_complete,sarii_complete
3604,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,41,أَبْطَالِ أَمْثَالًا وَأَقْرَانَا,وَلَمْ يَزَلْ يَرْدِي بِهِنْدَيْهِ الْ,Modern,sarii_complete,sarii_complete
3605,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,42,وَلُّوا وَقَالُوا أَنَّهُ جَانَا,حَتَّى إِذَا قَابَلَ جَمْعًا لَهُمْ,Modern,sarii_complete,sarii_complete
3606,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,43,وَقَدْ قَرَى نَسْرًا وَسُرْحَانَا,فَرَّقَهُمْ أَيْدِي سَبَا فِي الفُلَا,Modern,sarii_complete,sarii_complete
3607,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,44,وَعَسْكَرُ المِغْوَارِ أَلْفَانَا,تَبًّا لَهُمْ عِشْرُونَ أَلْفًا لَهُمْ,Modern,sarii_complete,sarii_complete
3608,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,45,وَبَعْضُهُمْ صَاحِبُ أَكْفَانَا,فَكَيْفَ وَلَّى بَعْضَهُمْ هَارِبًا,Modern,sarii_complete,sarii_complete
3609,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,46,دُونَ الوَرَى أَوْلَاكَ مَوْلَانَا,بُشْرَاكَ يَا شَهْمُ فَذِي نِعْمَةٌ,Modern,sarii_complete,sarii_complete
3610,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,47,وَحَفَّكَ الإِقْبَالُ أَزْمَانَا,فَالنَّصْرُ قَدْ خَصَّكَ دُونَ الوَرَى,Modern,sarii_complete,sarii_complete
3611,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,48,أَحْزَابِ فَافْخَرْ بِالَّذِي كَانَا,نَصَرْتَ بِالرُّعْبِ وَذِي وَقْعَةِ الْ,Modern,sarii_complete,sarii_complete
3612,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,49,حَمِيدَةٌ نِلْتَ بِهَا شَانَا,حَيْثُ لَكُمْ بِالمُصْطَفَى أُسْوَةٌ,Modern,sarii_complete,sarii_complete
3613,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,50,وَلَّاهُ لِلرَّأْفَةِ بَغْدَانَا,مُذْ بَلَغَ الخِنْكَارُ أَخْبَارَهُ,Modern,sarii_complete,sarii_complete
3614,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,51,يُرْدِي العَدَى فُرْسًا وَعُرْبَانَا,حَيْثُ رَآهُ بَاسِلًا فَاتِكَا,Modern,sarii_complete,sarii_complete
3615,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,52,جُودَةِ حَسَّانًا وَحَسَّانَا,ذَا نَجْدَةٍ غَوْثٍ صَرِيخٍ أَخَا الْ,Modern,sarii_complete,sarii_complete
3616,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,53,وَاغْتَنَمَ الرَّاحَةَ تَعْبَانَا,بَعْدَ العَنَا نَالَ لَذِيذَ العُلَى,Modern,sarii_complete,sarii_complete
3617,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,54,فَغَمَّضَ السَّاهِرُ أَجْفَانَا,كَمَا اسْتَلَذَّ النَّوْمُ بَعْدَ الكَرَى,Modern,sarii_complete,sarii_complete
3618,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,55,بِهِ وَمَا قَدْ كَانَ أَشْقَانَا,حَمْدًا لَكَ اللَّهُمَّ زَالَ العَنَا,Modern,sarii_complete,sarii_complete
3619,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,56,فَفَاخَرَتْ مُدْنًا وَبُلْدَانَا,وَاسْتَبْشَرَتْ بَغْدَادُ إِذْ حَلَّهَا,Modern,sarii_complete,sarii_complete
3620,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,57,بَعْدَكَ لَا تَرُوقُ أَغْصَانَا,مَا هِيَ إِلَّا بَهْجَةً يَتِمَتْ,Modern,sarii_complete,sarii_complete
3621,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,58,حَتَّى أَتَتْ بِالسُّقْمِ بُرْهَانَا,أَضْنَى قِوَاهَا طُولَ هَذَا النَّوَى,Modern,sarii_complete,sarii_complete
3622,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,59,أُخْفِي فَلَا يَطِيعُ تِبْيَانَا,بِظَعْنِكُمْ عَنْهَا مَنَارَ الهُدَى,Modern,sarii_complete,sarii_complete
3623,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,60,بَدَتْ بِهَا الأَنْوَارُ إِعْلَانَا,وَمُذْ حَلَلْتَ الآنَ فِي رَحْبِهَا,Modern,sarii_complete,sarii_complete
3624,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,61,مِنْكَ وَلَا أَوْحَشَ سُكَّانَا,لَا أَوْحَشَ اللَّهُ رُبُوعًا بِهَا,Modern,sarii_complete,sarii_complete
3625,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,62,وَللثَّنَا وَالحَمْدِ أَوْطَانَا,لَا بَرَحَتْ لِمَجْدِكُمْ مَنْزِلَا,Modern,sarii_complete,sarii_complete
3626,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,63,خَوْفًا وَكُلٌّ لَكَ قَدْ دَانَا,مَوْلَايَ أَعْدَاكَ غَدُوا خَضَعَا,Modern,sarii_complete,sarii_complete
3627,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,64,لِلَّهِ إِذْ أَوْلَاكَ إِحْسَانَا,هِبْ أَنَّهُمْ سَاؤُوا فَأَحْسِنْ بِهِمْ,Modern,sarii_complete,sarii_complete
3628,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,65,إِذْ هُوَ مِنْ شِيمَةِ مَوْلَانَا,قَدَرْتَ وَالعَفْوُ هُوَ المُرْتَجَى,Modern,sarii_complete,sarii_complete
3629,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,66,وَامْنَحَهُمْ عَفْوًا وَغُفْرَانَا,وَاغْضُضْ بِطَرْفِ الحِلْمِ عَنْ غَيِّهِمْ,Modern,sarii_complete,sarii_complete
3630,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,67,كَفَاهُمُ ذُلًّا وَخُسْرَانَا,فَالحَمْدُ لِلَّهِ غَدُوا مُثْلَةً,Modern,sarii_complete,sarii_complete
3631,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,68,وَدُمْتَ لِلْعَاصِينَ حَنَّانَا,لَا زِلْتَ فِينَا حَاكِمًا عَادِلَا,Modern,sarii_complete,sarii_complete
3632,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,69,عَزِيزُنَا النَّاصِرُ وَافَانَا,بُشْرَى لَنَا آلَ الزُّوَيْرَاءِ إِذْ,Modern,sarii_complete,sarii_complete
3633,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,70,بِغَيْرِهِ قَدْ كَانَ أَشْقَانَا,أَسْعَدَنَا اللَّهُ بِهِ بَعْدَمَا,Modern,sarii_complete,sarii_complete
3634,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,71,مُذْ حَلَّ صَدْرُ الدَّسْتِ سُلْطَانَا,وَدَوْلَةُ الأَوْبَاشِ زَالَتْ بِهِ,Modern,sarii_complete,sarii_complete
3635,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,72,المُلْكُ أَضْحَى لِسُلَيْمَانَا,وَآيَةُ الإِقْبَالِ قَدْ أَرَّخَتْ,Modern,sarii_complete,sarii_complete
195,Abi Alatahiya,Inna Al Fanae,1,إِنَّ الزَّمَانَ إِذَا رَمَى لَمُصِيبُ,إِنَّ الفَنَاءَ مِنَ البَقَاءِ قَرِيبُ,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
196,Abi Alatahiya,Inna Al Fanae,2,لَوْ كَانَ يَنْفَعُ فِيهِمُ التَّأْدِيبُ,إِنَّ الزَّمَانَ لِأَهْلِهِ لَمُؤَدَّبٌ,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
197,Abi Alatahiya,Inna Al Fanae,3,إِنَّ الزَّمَانَ لَشَاعِرٌ وَخَطِيبُ,صِفَةُ الزَّمَانِ حَكِيمَةٌ وَبَلِيغَةٌ,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
198,Abi Alatahiya,Inna Al Fanae,4,لَكَ مُهْرِمٌ وَمُعَذِّبٌ وَمُذِيبُ,وَأَرَاكَ تَلْتَمِسُ البَقَاءَ وَطُولُهُ,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
199,Abi Alatahiya,Inna Al Fanae,5,لَوْ كَانَ يُحْكِمُ رَأْيَكَ التَّجْرِيبُ,وَلَقَدْ رَأَيْتُكَ لِلزَّمَانِ مُجَرِّبًا,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
200,Abi Alatahiya,Inna Al Fanae,6,وَأَرَاكَ لَسْتَ تُجِيبُ,وَلَقَدْ يُكَلِّمُكَ الزَّمَانُ بِأَلْسُنٍ عَرَبِيَّةٍ,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
201,Abi Alatahiya,Inna Al Fanae,7,لَعَرَاكَ مِنْهُ تَفَجُّعٌ وَنَحِيبُ,لَوْ كُنْتَ تَفْهَمُ عَنْ زَمَانِكَ قَوْلَهُ,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
202,Abi Alatahiya,Inna Al Fanae,8,وَالمَوْتُ مِنْكَ وَإِنْ كَرِهْتَ قَرِيبُ,أَلْحَحْتَ فِي طَلَبِ الصِّبَا وَضَلَالِهِ,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
203,Abi Alatahiya,Inna Al Fanae,9,وَلَقَدْ طَلَبْتَ وَمَا أَرَاكَ تُصِيبُ,وَلَقَدْ عَقَلْتَ وَمَا أَرَاكَ بِعَاقِلٍ,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
204,Abi Alatahiya,Inna Al Fanae,10,أَبْلَى وَأَفْنَى دَارَكَ التَّقْلِيبُ,وَلَقَدْ سَكَنْتَ صُحُونَ دَارِ تَقَلُّبٍ,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
61,Abi Alatahiya,Inna Al Fanae,11,هَيْهَاتَ لَيْسَ مَعَ المَمَاتِ يَطِيبُ,أَمَعَ المَمَاتِ يَطِيبُ عَيْشُكَ يَا أَخِي,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
205,Abi Alatahiya,Inna Al Fanae,12,كُلَّ ابْنِ أُنْثَى حَافِظٌ وَرَقِيبُ,زُغْ كَيْفَ شِئْتَ عَنِ البِلَى فَلَهُو عَلَى,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
206,Abi Alatahiya,Inna Al Fanae,13,كَيْفَ اغْتَرَرْتَ بِهِ وَأَنْتَ لَبِيبُ,كَيْفَ اغْتَرَرْتَ بِصَرْفِ دَهْرِكَ يَا أَخِي,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
207,Abi Alatahiya,Inna Al Fanae,14,حِقَبًا وَأَنْتَ مُجَرِّبٌ وَأَرِيبُ,وَلَقَدْ حَلَبْتَ الدَّهْرَ أَشْطُرَ دَرِّهِ,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
208,Abi Alatahiya,Inna Al Fanae,15,لِلْمَوْتِ فِيهِ وَلِلتُّرَابِ نَصِيبُ,وَالمَوْتُ يَرْتَصِدُ النُّفُوسَ وَكُلُّنَا,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
209,Abi Alatahiya,Inna Al Fanae,16,بَلْ يَا أَخِي فَمَتَى أَرَاكَ تُنِيبُ,إِنْ كُنْتَ لَسْتَ تُنِيبُ إِنْ وَثَبَ البِلَى,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
210,Abi Alatahiya,Inna Al Fanae,17,أَيَعِيبُ مَنْ هُوَ بِالعُيُوبِ مَعِيبُ,لِلَّهِ دَرُّكَ عَائِبًا مُتَسَرِّعًا,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
271,Abi Alatahiya,Inna Al Fanae,18,وَالمَوْتُ يَدْعُونِي غَدًا فَأُجِيبُ,وَلَقَدْ عَجِبْتُ لِغَفْلَتِي وَلِغِرَّتِي,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
272,Abi Alatahiya,Inna Al Fanae,19,وَلَهَا إِلَيَّ تَوَثُّبٌ وَدَبِيبُ,وَلَقَدْ عَجِبْتُ لِطُولِ أَمْنِ مَنِيَّتِي,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
273,Abi Alatahiya,Inna Al Fanae,20,وَلَقَدْ أَرَاهُ وَإِنَّهُ لَصَلِيبُ,لِلَّهِ عَقْلِي مَا يَزَالُ يَخُونَنِي,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
274,Abi Alatahiya,Inna Al Fanae,21,أَيَّامَ لِي غُصْنُ الشَّبَابِ رَطِيبُ,لِلَّهِ أَيَّامٌ نَعِمْتُ بِلِينِهَا,Abbassi: VIIIth - XVIth,kamil_complete,kamil_complete
